tweet_id,publish_date,content,trump_mention
914621840496189440,10/1/2017 22:43,Marshawn Lynch arrives to game in anti-Trump shirt. Judging by his sagging pants the shirt should say Lynch vs. belt https://t.co/mLH1i30LZZ,T
914639143690555392,10/1/2017 23:52,"JUST IN: President Trump dedicates Presidents Cup golf tournament trophy to the people of Florida, Texas and Puerto Rico. https://t.co/z9wVa4djAE",T
914320835325853696,10/1/2017 2:47,"Dan Bongino: ""Nobody trolls liberals better than Donald Trump."" Exactly!  https://t.co/AigV93aC8J",T
914335818503933957,10/1/2017 3:47,"As much as I hate promoting CNN article, here they are admitting EVERYTHING Trump said about PR relief two days ago. https://t.co/tZmSeA48oh",T
917856606729236480,10/10/2017 20:57,"Sarah Sanders destroys NBC reporter: ""Trump made a joke, maybe you guys should get a sense of humor."" https://t.co/IceJ8acE3G",T
917898105365909504,10/10/2017 23:42,"First lady Melania Trump visits infant opioid treatment center in Huntington, West Virginia.  We love your grace and style @FLOTUS! ❤️❤️ https://t.co/hLAKPSOro6",T
918238476369309696,10/11/2017 22:14,"Because he hates women so much, President Trump just nominated another woman, Kirstjen Nielsen, to be in his Cabinet.",T
918239830429052929,10/11/2017 22:20,"Pres. Trump: ""We want lower taxes, bigger paychecks, and more jobs for American truckers and for American workers."" https://t.co/gZe8mvpay3",T
918274651020775424,10/12/2017 0:38,"Pres. Trump just dropped a NUKE-truth-bomb: ""The NFL should have suspended Kaepernick for one game and he would have never done it again"" https://t.co/qKYPwhsglu",T
918567379860410369,10/12/2017 20:01,"So we’ve gone from “Russia literally hacked the election for Trump” to “Russians helped Trump get elected by hacking Pokemon GO.""   Amazing! https://t.co/5IN03y54Ul",T
918310998913798144,10/12/2017 3:02,A cute 10 yo girl had a Trump dress on. Hannity asked her why she liked him. She said because he's doing great things for the country! ❤️❤️ https://t.co/QzXbuPgH2B,T
918939099972669441,10/13/2017 20:38,President Trump: #Iran was Economically BANKRUPT until Obama gifted them 1.7 BILLION in CASH &amp; infused 150 BILLION into their economy ...... https://t.co/GocTNG4KyL,T
919007302635737088,10/14/2017 1:09,"After posting their support of President Trump, Arizona restaurant forced to close down due to death threats. This is the ""peaceful"" left. https://t.co/GPPQCSfYNe",T
919022327513395200,10/14/2017 2:09,#FakeNews MSM has been out to get President Trump since he was a candidate.  Be warned--We The People are fighting back &amp; you're going down.,T
919025299735678977,10/14/2017 2:21,President Trump tweeted this back in 2012. https://t.co/MZ8clJIykT,T
919026695453192192,10/14/2017 2:26,President Trump tweeted this back in 2012. https://t.co/lW763v7iB7,T
914934137676615680,10/2/2017 19:24,President Trump and first lady Melania Trump lead White House staff in a moment of silence for #LasVegas. https://t.co/SNeRLafThC,T
915333432737230848,10/3/2017 21:51,'@CNN in hysterics as Puerto Rico FULLY EMBRACES President Trump w/ Love and Cheers of Praise !!  Fake News Narrative CRUSHED https://t.co/Mn6Jt7IO9B',T
915657462136672256,10/4/2017 19:18,"Pres. Trump to Las Vegas first responders: ""You showed the world—and the world is watching—and you showed what professionalism is all about"" https://t.co/fwSNHainih",T
915741126182735873,10/5/2017 0:51,"Las Vegas victim meets Trump, stands up on wounded leg: ""I will always respect my country, my President,my flag!""  You won't see this on CNN https://t.co/zHEFA3LELv",T
916062807015198720,10/5/2017 22:09,"Las Vegas victim has change of heart after meeting Trump: ""He wasn't who we see on social media."" https://t.co/3dDydO46sn",T
906984241224970240,9/10/2017 20:54,"President Trump says he will visit Florida soon, will keep an eye on how Hurricane Irma develops over the next few hours. https://t.co/w4EcdmGcT4",T
907018033503367168,9/10/2017 23:08,"Twitter censors conservarives, yet hateful Antifa accounts, ""Kill Trump"" crowd, and ISIS propaganda roam free.  #FreeTennessee",T
907089319625715713,9/11/2017 3:52,Trump interview right after 9/11 at ground zero... He has a big heart and empathy!! He cares!! #NeverForget #NeverForget911 #September11th https://t.co/O0EhufvYR7,T
